Region,Subregion,Country,country_code,Variables,Sub-Variables,Value,Sentences,Working Document,Production_MW,Production_Mt,Official
Africa,Africa,Mauritania,MRT,Public financing,,N/A,,,,,
Africa,Africa,Mauritania,MRT,Trade medium,Short term,"Ammonia, LH2, Green steel",,,,,
Africa,Africa,Mauritania,MRT,Trade medium,Medium term,Methanol,,,,,
Africa,Africa,Mauritania,MRT,Trade partner,,"DE, NL",,,,,
Africa,Africa,Mauritania,MRT,Trade reason,,"Good geographical position, high renewable energy, good investment climate",,MRT_Feuille de route hydrogène vert_Mauritanie_final_v10 (FR).pdf,,,
Africa,Africa,Mauritania,MRT,Trade strategy,,Export,,MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,1
Africa,Africa,Mauritania,MRT,Trade time,,2030,,,,,
Africa,Africa,Mauritania,MRT,Trade value,2030 - Ammonia,6.9 Mt,1.2 Mt of H2 exported (6.9 Mt Ammonia),MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Trade value,2040 - Ammonia,15.9 Mt,2.8 Mt of H2 exported (15.9 Mt Ammonia),MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Trade value,2050 - Ammonia,24.4 Mt,4.3 Mt of H2 exported (24.4 Mt Ammonia),MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Trade value,2030 - Methanol,0,Feasibility study and pilot project,MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Trade value,2040 - Methanol,1.8 Mt,1.8 Mt of methanol exported,MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Trade value,2050 - Methanol,5.5 Mt,5.5 Mt of methanol exported,MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Trade value,2030 - Green Steel,0,Feasibility study and pilot project,MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Trade value,2040 - Green Steel,2.7 Mt,2.7 Mt of green steel exported,MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Trade value,2050 - Green Steel,18.7 Mt,18.7 Mt of green steel exported,MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Trade value,2030 - Blue H2,1.6 EUR / Kg H2,,MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Trade value,2040 - Blue H2,1.5 EUR / Kg H2,,MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Trade value,2050 - Blue H2,1.5 EUR / Kg H2,,MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Trade value,2030 - Green H2,1.5 - 2.5 EUR / Kg H2,,MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Trade value,2040 - Green H2,1.3 - 2.1 EUR / Kg H2,,MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Trade value,2050 - Green H2,1.2 - 1.8 EUR / Kg H2,,MRT_Roadmap for the low carbon hydrogen industry in Mauritania (eng).pdf,,,
Africa,Africa,Mauritania,MRT,Type of hydrogen,,"Green, Blue",,,,,
Africa,Africa,Morocco,MAR,Additional note,,,,,,,
Africa,Africa,Morocco,MAR,By-product,,,,,,,
Africa,Africa,Morocco,MAR,Domestic demand,,,,,,,
Africa,Africa,Morocco,MAR,Energy source,,,,,,,
Africa,Africa,Morocco,MAR,Export to China,,,,,,,
Africa,Africa,Morocco,MAR,Infrastructure strategy,,,,,,,
Africa,Africa,Morocco,MAR,Production capacity,,,,,,,
Africa,Africa,Morocco,MAR,Public financing,,,,,,,
Africa,Africa,Morocco,MAR,Trade medium,,,,,,,
Africa,Africa,Morocco,MAR,Trade partner,,,,,,,
Africa,Africa,Morocco,MAR,Trade reason,,,,,,,
Africa,Africa,Morocco,MAR,Trade strategy,,N/A,,MAR_Feuille de route de hydrogène vert (fr),,,1
Africa,Africa,Morocco,MAR,Trade time,,,,,,,
Africa,Africa,Morocco,MAR,Trade value,,,,,,,
Africa,Africa,Morocco,MAR,Type of hydrogen,,,,,,,
Africa,Africa,Namibia,NAM,Additional note,,One comprehensive strategy,,NAM_Green Hydrogen and Derivatives Strategy (eng),,,
Africa,Africa,Namibia,NAM,By-product,,N/A,,NAM_Green Hydrogen and Derivatives Strategy (eng),,,
Africa,Africa,Namibia,NAM,Domestic demand,,Industrial feedstock (fertilizer),"Hydrogen is already used as a feedstock in industrial applications such as ammonia and syngas for methanol production. New use cases for hydrogen in its pure form include ground transport (hydrogen-powered vehicles such as heavy-duty trucks or rail), power generation, and industrial heat.",NAM_Green Hydrogen and Derivatives Strategy (eng),,,
Africa,Africa,Namibia,NAM,Energy source,,"Mainly wind, and smaller potential of solar","It has world-class wind energy potential along its southern and northern coasts with wind capacity factors of about 56-58%, much higher than other potential exporters like Australia and South Africa that average less than 40% (page 15)",NAM_Green Hydrogen and Derivatives Strategy (eng),,,
Africa,Africa,Namibia,NAM,Export to China,,Yes,,NAM_Green Hydrogen and Derivatives Strategy (eng),,,
Africa,Africa,Namibia,NAM,Infrastructure strategy,,Three hydrogen hub,"Three hydrogen valleys will produce ammonia, synthetic fuels and HBI in the southern region (Kharas), the central region (including Walvis Bay port and the capital Windhoek) and the northern region (Kunene)",NAM_Green Hydrogen and Derivatives Strategy (eng),,,
Africa,Africa,Namibia,NAM,Investment value,2040,$190 billion,Developing Namibia’s green hydrogen industry will require an estimated US$190 billion of investment to 2040.,NAM_Green Hydrogen and Derivatives Strategy (eng),,,
Africa,Africa,Namibia,NAM,Production capacity,2030,2 Mt,2030: 1-2 Mtpa hydrogen equivalent; • 2040: 5-7 Mtpa hydrogen equivalent; • 2050: 10-15 Mtpa hydrogen equivalent,NAM_Green Hydrogen and Derivatives Strategy (eng),"28,798 MW",2.00 Mt,
Africa,Africa,Namibia,NAM,Production capacity,2040,7 Mt,2030: 1-2 Mtpa hydrogen equivalent; • 2040: 5-7 Mtpa hydrogen equivalent; • 2050: 10-15 Mtpa hydrogen equivalent,NAM_Green Hydrogen and Derivatives Strategy (eng),"100,795 MW",7.00 Mt,
Africa,Africa,Namibia,NAM,Production capacity,2050,15 Mt,2030: 1-2 Mtpa hydrogen equivalent; • 2040: 5-7 Mtpa hydrogen equivalent; • 2050: 10-15 Mtpa hydrogen equivalent,NAM_Green Hydrogen and Derivatives Strategy (eng),"215,989 MW",15.00 Mt,
Africa,Africa,Namibia,NAM,Public financing,,$1 billion,the Government will launch an infrastructure fund – SDG Namibia One – that will initially mobilize US$1 billion in concessionary and commercial capital to develop the SCDI.,NAM_Green Hydrogen and Derivatives Strategy (eng),,,
Africa,Africa,Namibia,NAM,Trade medium,,"H2 (pipeline), Ammonia, Methanol, Syn-fuel","Transport of pure hydrogen via pipelines will be the most practical and cost-effective method in areas where routes are relatively short and existing infrastructure can be repurposed, e.g., for exports from North Africa to Europe. Where pipelines are not available, it will be more cost-competitive to convert hydrogen into derivative products like ammonia or methanol that are efficient energy carriers and can be used directly as end products.",NAM_Green Hydrogen and Derivatives Strategy (eng),,,
Africa,Africa,Namibia,NAM,Trade partner,,"JP, KR, EU, CN","Namibia is looking to develop supplier relationships with Europe, Japan, South Korea, and China and is very open to discussing opportunities with other regions.",NAM_Green Hydrogen and Derivatives Strategy (eng),,,
Africa,Africa,Namibia,NAM,Trade reason,,Obtain benefit from its great wind resources,"It has world-class wind energy potential along its southern and northern coasts with wind capacity factors of about 56-58%, much higher than other potential exporters like Australia and South Africa that average less than 40% (Exhibit 4).",NAM_Green Hydrogen and Derivatives Strategy (eng),,,
Africa,Africa,Namibia,NAM,Trade strategy,,Export,"It aims to export hydrogen products – ammonia, methanol, synthetic kerosene and hot- briquetted iron – which have relatively lower shipping costs.",NAM_Green Hydrogen and Derivatives Strategy (eng),,,1
Africa,Africa,Namibia,NAM,Trade time,,2030,"Namibia could start delivering ammonia to Japan and South Korea if they scale up their hydrogen economies while domestic production cannot meet demand, and if Japan’s regulatory target of decarbonized ammonia for power by 2030 remains in place.",NAM_Green Hydrogen and Derivatives Strategy (eng),,,
Africa,Africa,Namibia,NAM,Trade value,,N/A,,NAM_Green Hydrogen and Derivatives Strategy (eng),,,
Africa,Africa,Namibia,NAM,Type of hydrogen,,Green,Hyphen Hydrogen Energy as the preferred bidder for its first giga-scale green hydrogen project.,NAM_Green Hydrogen and Derivatives Strategy (eng),,,
Africa,Africa,South Africa,ZAF,Additional note,,N/A,,,,,
Africa,Africa,South Africa,ZAF,By-product,,,,,,,
Africa,Africa,South Africa,ZAF,Domestic demand,,,,,,,
Africa,Africa,South Africa,ZAF,Energy source,,,,,,,
Africa,Africa,South Africa,ZAF,Export to China,,,,,,,
Africa,Africa,South Africa,ZAF,Infrastructure strategy,,leverage its existing port infrastructure to support exports of hydrogen,"With the existing GTL facility operated by PetroSA, much of the infrastructure already exists to supply pure hydrogen into the domestic and international markets. The infrastructure needed to export hydrogen is similar to existing natural gas networks. Modifications may be required. ",ZAF_Hydrogen_Society_Roadmap (eng),,,
Africa,Africa,South Africa,ZAF,Investment value,,,,,,,
Africa,Africa,South Africa,ZAF,Production capacity,2030,0.5 Mt,At least 500kt H2 produced annually by 2030 (explained more in the table),ZAF_Hydrogen_Society_Roadmap (eng),"7,200 MW",0.50 Mt,
Africa,Africa,South Africa,ZAF,Public financing,,,,,,,
Africa,Africa,South Africa,ZAF,Trade medium,,,,,,,
Africa,Africa,South Africa,ZAF,Trade partner,,"JP, KR, EU","In the medium to long term (10 years and beyond), Japan, South Korea and the European Union (EU) will emerge as the main potential export destinations for green hydrogen, given the advancement of policies in these countries.",ZAF_Hydrogen_Society_Roadmap (eng),,,
Africa,Africa,South Africa,ZAF,Trade reason,,Gain benefit from abundant solar and wind resources,"South Africa has ideal weather conditions for solar and wind generation, which are the RE options typically deployed in green-hydrogen production.",ZAF_Hydrogen_Society_Roadmap (eng),,,
Africa,Africa,South Africa,ZAF,Trade strategy,,Export,The implementation of the HSRM is expected to contribute to the goal of a just and inclusive net-zero carbon economic growth for societal wellbeing by 2050 through the following high-level outcomes: • Creating an export market for South African green hydrogen; and,ZAF_Hydrogen_Society_Roadmap (eng),,,1
Africa,Africa,South Africa,ZAF,Trade time,,2025,"Implement export strategy including negotiation of purchasing commitments, establishing partnerships, and commence exports in 2025-2030 (hydrogen export action plan)",ZAF_Hydrogen_Society_Roadmap (eng),,,
Africa,Africa,South Africa,ZAF,Trade value,,N/A,,,,,
Africa,Africa,South Africa,ZAF,Type of hydrogen,,,,,,,
Asia,East Asia,China,CHN,Additional note,,N/A,,,,,
Asia,East Asia,China,CHN,By-product,,Mentioned as immediate hydrogen sources,,,,,
Asia,East Asia,China,CHN,Domestic demand,,"Transport, energy storage, power generation, and the industrial sector",,,,,
Asia,East Asia,China,CHN,Energy source,2025,Renewable electricity,,,,,
Asia,East Asia,China,CHN,Export to China,,N/A,,,,,
Asia,East Asia,China,CHN,Infrastructure strategy,,"Refueling stations, hydrogen and natural gas pipeline",,,,,
Asia,East Asia,China,CHN,Investment value,,N/A,,,,,
Asia,East Asia,China,CHN,Production capacity,2025,"100,000 - 200,000 tons/per",,,,,
Asia,East Asia,China,CHN,Public financing,,N/A,,,,,
Asia,East Asia,China,CHN,RnD fund,,N/A,,,,,
Asia,East Asia,China,CHN,Trade medium,,N/A,,,,,
Asia,East Asia,China,CHN,Trade partner,,N/A,,,,,
Asia,East Asia,China,CHN,Trade reason,,N/A,,,,,
Asia,East Asia,China,CHN,Trade strategy,,N/A,,CHN_Medium and Long Term Plan for the development of hydrogen industries 2021-2035 (eng),,,
Asia,East Asia,China,CHN,Trade time,,N/A,,,,,
Asia,East Asia,China,CHN,Trade value,,N/A,,,,,
Asia,East Asia,China,CHN,Type of hydrogen,2025,Renewable,,,,,
Asia,East Asia,Japan,JPN,Additional note,,,,,,,
Asia,East Asia,Japan,JPN,By-product,,,,,,,
Asia,East Asia,Japan,JPN,Domestic demand,2030,3 Mt,Japan has the objective of using up to 3 million tons/year by 2030 and approximately 20 million tons/year by 2050 in order to accelerate the transition toward a hydrogen/ammonia-based society. We will set an additional objective of using 12 million tons of hydrogen (including ammonia) per year for 2040.,JPN_Basic Hydrogen Strategy (eng),,,
Asia,East Asia,Japan,JPN,Domestic demand,2040,12 Mt,Japan has the objective of using up to 3 million tons/year by 2030 and approximately 20 million tons/year by 2050 in order to accelerate the transition toward a hydrogen/ammonia-based society. We will set an additional objective of using 12 million tons of hydrogen (including ammonia) per year for 2040.,JPN_Basic Hydrogen Strategy (eng),,,
Asia,East Asia,Japan,JPN,Domestic demand,2050,20 Mt,Japan has the objective of using up to 3 million tons/year by 2030 and approximately 20 million tons/year by 2050 in order to accelerate the transition toward a hydrogen/ammonia-based society. We will set an additional objective of using 12 million tons of hydrogen (including ammonia) per year for 2040.,JPN_Basic Hydrogen Strategy (eng),,,
Asia,East Asia,Japan,JPN,Energy source,,,,,,,
Asia,East Asia,Japan,JPN,Infrastructure strategy,,,,,,,
Asia,East Asia,Japan,JPN,Production capacity,,N/A,,,,,
Asia,East Asia,Japan,JPN,Public financing,,,,,,,
Asia,East Asia,Japan,JPN,Trade medium,,"LH2, MCH, Ammonia","Liquefied hydrogen, MCH, and ammonia are candidate transport carriers of hydrogen.",JPN_Basic Hydrogen Strategy (eng),,,
Asia,East Asia,Japan,JPN,Trade partner,,"North America, Middle East, AU, Asia","It will also accelerate the implementation of the plan for constructing international supply chains and establishing their logistic hubs in collaboration with North America, the Middle East, Australia, and Asia.",JPN_Basic Hydrogen Strategy (eng),,,
Asia,East Asia,Japan,JPN,Trade reason,,Domestic hydrogen is more expensive,hydrogen produced in Japan will remain more expensive than the hydrogen imported from overseas for the time being due to the higher cost of renewable energy production and CCS in Japan.,JPN_Basic Hydrogen Strategy (eng).pdf,,,
Asia,East Asia,Japan,JPN,Trade strategy,,Import,hydrogen produced in Japan will remain more expensive than the hydrogen imported from overseas for the time being due to the higher cost of renewable energy production and CCS in Japan.,JPN_Basic Hydrogen Strategy (eng).pdf,,,
Asia,East Asia,Japan,JPN,Trade time,,N/A,,,,,
Asia,East Asia,Japan,JPN,Trade value,2030,Price 2.2 USD/kg,"Our hydrogen supply cost (CIF cost) targets are 334 yen/kg in 2030 and 222 yen/kg, a value set to reduce hydrogen power generation costs below gas-fired power generation costs) by 2050.",JPN_Basic Hydrogen Strategy (eng).pdf,,,
Asia,East Asia,Japan,JPN,Trade value,2050,Price 1.5 USD/kg,"Our hydrogen supply cost (CIF cost) targets are 334 yen/kg in 2030 and 222 yen/kg, a value set to reduce hydrogen power generation costs below gas-fired power generation costs) by 2050.",JPN_Basic Hydrogen Strategy (eng).pdf,,,
Asia,East Asia,Japan,JPN,Type of hydrogen,,,,,,,
Asia,East Asia,Korea (the Republic of),KOR,Additional note,,N/A,,,,,
Asia,East Asia,Korea (the Republic of),KOR,By-product,2040,"Yes, from industry",Graph at page 10,KOR_Hydrogen Economy Roadmap of Korea (eng),,,
Asia,East Asia,Korea (the Republic of),KOR,Domestic demand,,"Ships, trains, drones and other areas","Of course, hydrogen utilizing products can be used in a variety of fields including ships, trains and drones, in addition to hydrogen fuel cell EVs and fuel cells for power generation or home consumption. However, in terms of technology maturity at this point, commercialization has already been achieved. The fostering of three sectors which can visibly realize market creation will be prioritized, and support given to further improve technology maturity. Once this maturity has reached a sufficient level, the government plans to expand the application of hydrogen to ships, trains, drones and other areas.",KOR_Hydrogen Economy Roadmap of Korea (eng),,,
Asia,East Asia,Korea (the Republic of),KOR,Energy source,,Renewable energy and brown coal,"In consideration of the limited capacity of eco-friendly hydrogen production, overseas hydrogen produced with renewable energy and brown coal in an eco-friendly way will be imported from 2030, with 70% of demand for hydrogen met with eco-friendly, CO.-free hydrogen by 2040.",KOR_Hydrogen Economy Roadmap of Korea (eng),,,
Asia,East Asia,Korea (the Republic of),KOR,Export to China,,N/A,,,,,
Asia,East Asia,Korea (the Republic of),KOR,Infrastructure strategy,700 bar or more,"Liquefaction and liquid technology, hydrogen transportation vessel, and liquefaction plants","-Table at page 11
-Overseas eco-friendly hydrogen will be introduced in 2030. To prepare for this, South Korea will start to develop related infrastructure including liquefaction and liquid technology, hydrogen transportation vessel, and liquefaction plants in 2022, as well as the construction of receiving bases for overseas hydrogen.",KOR_Hydrogen Economy Roadmap of Korea (eng),,,
Asia,East Asia,Korea (the Republic of),KOR,Infrastructure strategy,2030,High-pressure hydrogen pipelines,Table at page 11,KOR_Hydrogen Economy Roadmap of Korea (eng),,,
Asia,East Asia,Korea (the Republic of),KOR,Investment value,,N/A,,,,,
Asia,East Asia,Korea (the Republic of),KOR,Production capacity,2030,1.94 Mt,"Currently, the demand for hydrogen ... to be about 130,000 tons per year. However, if such industries grow according to the government road map, the demand for hydrogen will increase from 470,000 tons per year in 2022 to 1.94 million tons in 2030, and to 5.26 million tons in 2040.",KOR_Hydrogen Economy Roadmap of Korea (eng),"27,935 MW",1.94 Mt,
Asia,East Asia,Korea (the Republic of),KOR,Production capacity,2040,5.26 Mt,"Currently, the demand for hydrogen ... to be about 130,000 tons per year. However, if such industries grow according to the government road map, the demand for hydrogen will increase from 470,000 tons per year in 2022 to 1.94 million tons in 2030, and to 5.26 million tons in 2040.",KOR_Hydrogen Economy Roadmap of Korea (eng),"75,740 MW",5.26 Mt,
Asia,East Asia,Korea (the Republic of),KOR,Public financing,,N/A,,,,,
Asia,East Asia,Korea (the Republic of),KOR,RnD fund,,N/A,,,,,
Asia,East Asia,Korea (the Republic of),KOR,Trade medium,,N/A,,,,,
Asia,East Asia,Korea (the Republic of),KOR,Trade partner,,N/A,,,,,
Asia,East Asia,Korea (the Republic of),KOR,Trade reason,,Limited production capacity,"In consideration of the limited capacity of eco-friendly hydrogen production, overseas hydrogen produced with renewable energy and brown coal in an eco-friendly way will be imported from 2030, with 70% of demand for hydrogen met with eco-friendly, CO.-free hydrogen by 2040.",KOR_Hydrogen Economy Roadmap of Korea (eng),,,
Asia,East Asia,Korea (the Republic of),KOR,Trade strategy,,Import,"In consideration of the limited capacity of eco-friendly hydrogen production, overseas hydrogen produced with renewable energy and brown coal in an eco-friendly way will be imported from 2030, with 70% of demand for hydrogen met with eco-friendly, CO.-free hydrogen by 2040.",KOR_Hydrogen Economy Roadmap of Korea (eng),,,
Asia,East Asia,Korea (the Republic of),KOR,Trade time,,2030,"In consideration of the limited capacity of eco-friendly hydrogen production, overseas hydrogen produced with renewable energy and brown coal in an eco-friendly way will be imported from 2030, with 70% of demand for hydrogen met with eco-friendly, CO.-free hydrogen by 2040.",KOR_Hydrogen Economy Roadmap of Korea (eng),,,
Asia,East Asia,Korea (the Republic of),KOR,Trade value,,N/A,,,,,
Asia,East Asia,Korea (the Republic of),KOR,Type of hydrogen,2040,"Blue, Green",Graph at page 10,KOR_Hydrogen Economy Roadmap of Korea (eng),,,
Asia,East Asia,Korea (the Republic of),KOR,Type of hydrogen,2022,Green,Graph at page 10,KOR_Hydrogen Economy Roadmap of Korea (eng),,,
Asia,South Asia,India,IND,By-product,,"Yes, from Chlor-alkali process",The Chlor-alkali industry also produces Hydrogen gas as a by-product.,IND_National Green Hydrogen Mission 2023 (eng),,,
Asia,South Asia,India,IND,Domestic demand,Future,"Petrochemical, Housing, Steel-making, Syn-fuel, Transport","This will include replacement of Hydrogen produced from fossil fuel sources with Green Hydrogen in ammonia production and petroleum refining, blending Green Hydrogen in City Gas Distribution systems, production of steel with Green Hydrogen, and use of Green Hydrogen-derived synthetic fuels (including Green Ammonia, Green Methanol, etc.). Decentralised Green Hydrogen production will be advantageous to reduce the requirement of its transportation for end-use.",IND_National Green Hydrogen Mission 2023 (eng),,,
Asia,South Asia,India,IND,Domestic demand,Current,"Fertilizer, Refinery, Methanol, Metal production","It is estimated that currently around 5 MMT (Million Metric Tonne) of Hydrogen is consumed annually in India for various industrial purposes like petroleum refining, manufacturing of ammonia for fertilizers, methanol production, treatment and production of metals etc.",IND_National Green Hydrogen Mission 2023 (eng),,,
Asia,South Asia,India,IND,Energy source,,"Renewable, Biomass","India has substantial experience in renewable energy deployment, contract mechanisms and policy frameworks. As a result, India has achieved some of the lowest long term levelized costs for solar and wind power generation. The downward trend is expected to continue. However, to ensure low cost of delivered renewable energy for electrolyser-based projects. Production of Green Hydrogen through biomass also holds potential for achieving scale and low costs.",IND_National Green Hydrogen Mission 2023 (eng),,,
Asia,South Asia,India,IND,Export to China,,Not available information,,IND_National Green Hydrogen Mission 2023 (eng),,,
Asia,South Asia,India,IND,Infrastructure strategy,,N/A,,IND_National Green Hydrogen Mission 2023 (eng),,,
Asia,South Asia,India,IND,Production capacity,2023,5 Mt,"It is estimated that currently around 5 MMT (Million Metric Tonne) of Hydrogen is consumed annually in India for various industrial purposes like petroleum refining, manufacturing of ammonia for fertilizers, methanol production, treatment and production of metals etc.",IND_National Green Hydrogen Mission 2023 (eng),"71,996 MW",5.00 Mt,
Asia,South Asia,India,IND,Production capacity,2030,10 Mt,"India’s Green Hydrogen production capacity is likely to reach at least 5 MMT per annum, with an associated renewable energy capacity addition of about 125 GW. With growth of export markets and international partnerships, the production capacity could be scaled to 10 MMT per annum.",IND_National Green Hydrogen Mission 2023 (eng),"143,992 MW",10.00 Mt,
Asia,South Asia,India,IND,Public financing,,174.9 billion rupees,"The initial outlay for the Mission will be 19,744 crore, including an outlay of 17,490 crore for the SIGHT programme, 1,466 crore for pilot projects, 400 crore for R&D, and 388 crore towards other Mission components.",IND_National Green Hydrogen Mission 2023 (eng),,,
